1,Басова,Амина,Кирилловна,klh7pi4rcbtz@gmail.com,2L6KZG,1
2,Михайлов,Андрей,Денисович,gn0354mbiork@outlook.com,uzWC67,1
3,Сидоров,Егор,Александрович,1o4l05k8dwpv@yahoo.com,8ntwUp,1
4,Аксенова,Ульяна,Ивановна,hsqixl2vebuz@mail.com,YOyhfR,2
5,Васильева,Камила,Ивановна,towkse0hf26b@outlook.com,RSbvHv,2
6,Ильин,Артём,Родионович,khx0ncdwz4uj@gmail.com,rwVDh9,2
7,Васильева,Василиса,Фёдоровна,01zji3wfuq7h@outlook.com,LdNyos,3
8,Кудрявцева,Василиса,Матвеевна,am65k18q7bwp@mail.com,gynQMT,3
9,Кириллова,Николь,Святославовна,wt9q8i6ypx47@outlook.com,AtnDjr,3
10,Андреева,Полина,Артёмовна,4o72gufv3xlz@tutanota.com,JlFRCZ,3
